Zip,Latitude,Longitude
78719,30.163458,-97.67711
79346,33.688713,-102.81775
79858,31.509199,-106.151727
75267,32.767268,-96.777626
77328,30.188885,-94.804065
78847,29.763171,-101.230032
76471,32.105459,-98.96537
79764,31.86577,-102.45367
75780,31.782048,-95.164021
76133,32.655401,-97.37765
77502,29.680079,-95.19966
78711,30.326374,-97.771258
78726,30.439053,-97.83503
79347,34.206848,-102.78511
76652,32.109599,-97.54276
77462,29.298532,-96.241147
78861,29.379516,-99.12665
75042,32.915625,-96.67399
75225,32.862876,-96.7904
75410,32.793512,-95.63182
75478,33.17329,-95.36663
77437,29.197701,-96.2774
79565,32.358785,-101.07207
75258,32.767268,-96.777626
78593,26.27109,-97.82904
79087,36.316305,-102.97676
75208,32.751464,-96.83864
79367,33.588639,-102.16126
79781,30.703917,-101.87223
76041,32.244026,-96.86701
76266,33.358871,-97.18944
75313,32.767268,-96.777626
75089,32.923924,-96.54697
76678,31.652858,-96.78857
76131,32.873017,-97.34622
77357,30.170751,-95.17832
77060,29.933367,-95.39916
76687,31.376261,-96.49614
78944,29.975083,-96.50081
79924,31.901737,-106.41827
76930,31.148007,-101.18632
88560,31.694842,-106.299987
79464,33.489623,-102.010895
79986,31.694842,-106.299987
75838,31.476671,-96.22212
76505,31.036287,-97.492017
79536,32.473679,-100.02753
78880,30.065334,-100.17202
77303,30.368543,-95.40217
78353,26.894094,-98.21561
75605,32.557684,-94.74353
75701,32.325214,-95.29467
76845,31.547652,-99.47679
77902,28.925513,-97.100624
78360,27.071318,-98.686327
76241,33.610384,-97.03692
75222,32.767268,-96.777626
75426,33.626445,-95.03534
76655,31.393062,-97.16178
77045,29.629111,-95.43841
77830,30.536223,-96.0229
77994,29.195217,-97.47799
79040,36.27128,-101.49483
78362,27.866143,-97.20712
79313,33.823216,-102.16413
76268,33.621928,-96.7649
78418,27.633433,-97.26792
78609,30.744225,-98.43167
76134,32.649855,-97.33358
77331,30.619313,-95.13802
79371,34.068183,-102.52625
78667,30.054378,-98.003574
79003,35.629034,-100.09291
79406,33.583798,-101.87525
75773,32.674657,-95.46982
76203,33.246457,-97.127027
76797,31.553646,-97.203166
77020,29.775927,-95.31836
77359,30.735628,-95.30405
78411,27.733058,-97.38542
79841,32.624796,-103.597991
88510,31.694842,-106.299987
75806,33.169075,-96.904315
76094,32.771419,-97.291484
77874,30.049881,-95.929015
78599,26.409709,-98.224206
77510,29.371171,-95.08552
78468,27.777,-97.463213
78720,30.326374,-97.771258
79345,33.344598,-102.28814
75390,32.767268,-96.777626
75172,32.598845,-96.6831
76546,31.036287,-97.492017
79221,34.071514,-101.30313
88595,31.694842,-106.299987
79114,35.050003,-101.817485
79994,31.694842,-106.299987
75684,32.26958,-94.94935
77270,29.83399,-95.434241
77670,30.054793,-93.903108
76643,31.453789,-97.19502
77494,29.760833,-95.81104
88538,31.694842,-106.299987
78160,29.237074,-97.95439
76522,31.131076,-97.91666
78387,28.054995,-97.5133
79703,31.984823,-102.13015
75260,32.767268,-96.777626
79116,35.245398,-101.999047
78622,29.760052,-97.77727
79012,35.191525,-102.08831
79926,31.694842,-106.299987
77842,30.65212,-96.341012
